DAP,Reaction,Active_In,Flux_Value
15,R02035[K,p],WT_only,0.00056522
15,R02107[K,x],WT_only,0.00056492
15,R02423[K,x],WT_only,0.00056492
15,R02636[K,p],WT_only,0.00029622
15,R02736[K,p],WT_only,0.00056522
15,R02739_mod[K,p],WT_only,0.00005782
15,R03313[K,p],WT_only,0.00011519
15,R03321_mod[K,p],WT_only,-0.00050741
15,R03968[K,c],WT_only,0.17171630
15,R04001[K,c],WT_only,0.17171630
15,R04672[K,p],WT_only,0.17172885
15,R05554[K,x],WT_only,0.00056492
15,cmTransport_C00158[K],WT_only,-0.00743661
15,cpTransport_C00024[K],WT_only,0.00360674
15,cpTransport_C00111[K],WT_only,0.18092154
15,cpTransport_C00117R[K],WT_only,0.00005782
